time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_kv_cache_swap.min,time_stats.attn_kv_cache_swap.max,time_stats.attn_kv_cache_swap.mean,time_stats.attn_kv_cache_swap.median,time_stats.attn_kv_cache_swap.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_prefill_kv_cache_prep.min,time_stats.attn_prefill_kv_cache_prep.max,time_stats.attn_prefill_kv_cache_prep.mean,time_stats.attn_prefill_kv_cache_prep.median,time_stats.attn_prefill_kv_cache_prep.std,time_stats.attn_prefill_qkv_reshape.min,time_stats.attn_prefill_qkv_reshape.max,time_stats.attn_prefill_qkv_reshape.mean,time_stats.attn_prefill_qkv_reshape.median,time_stats.attn_prefill_qkv_reshape.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_prefill_output_reshape_copy.min,time_stats.attn_prefill_output_reshape_copy.max,time_stats.attn_prefill_output_reshape_copy.mean,time_stats.attn_prefill_output_reshape_copy.median,time_stats.attn_prefill_output_reshape_copy.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill
0.002,0.003,0.0026000000000000003,0.003,0.0004898979485566356,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.0,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,1,0,64,False
0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.0,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,2,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.004200000000000001,0.004,0.0004,0.008,0.008,0.008,0.008,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,3,0,64,False
0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.0,0.008,0.008,0.008,0.008,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,4,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.0,0.008,0.008,0.008,0.008,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,5,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,6,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.01,0.01,0.01,0.01,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,7,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,0.011,0.012,0.011199999999999998,0.011,0.00040000000000000034,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,8,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.006,0.0058,0.006,0.0004,0.016,0.017,0.0162,0.016,0.00040000000000000034,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,9,0,64,False
0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.006,0.0,0.019,0.019,0.019,0.019,0.0,,,,,,,,,,,,,,,,,,,,,2560,32,32,16,1,4096,10,0,64,False
