,Time (sec),request_completion
0,9.351280624094244,1
1,9.418484160128576,2
2,9.940785728403236,3
3,10.326756970229868,4
4,12.541228779603317,5
5,15.084456870267372,6
6,21.668190351263235,7
7,21.771268677552058,8
8,23.348744337791235,9
9,23.416972725983786,10
10,23.754940150121133,11
11,25.41050462439407,12
12,25.465823933221532,13
13,25.66825649776491,14
14,27.516879337371645,15
15,28.666482557162222,16
16,29.04127931414227,17
17,30.3158543544317,18
18,33.06059472326098,19
19,33.11358699208844,20
20,35.978629496013426,21
21,38.157128073284035,22
22,38.902934296786135,23
23,39.09060891130288,24
24,45.74362147287644,25
25,46.60067793411605,26
26,46.705450055770996,27
27,46.78725801421907,28
28,50.124911375300485,29
29,51.697743567317445,30
30,54.84780537946848,31
31,57.273073857772296,32
32,58.5893315482513,33
33,64.93218338883415,34
34,65.98651762283355,35
35,67.64360877809158,36
36,71.00417941282755,37
37,72.89113259384355,38
38,78.22543702781289,39
39,80.90079487117397,40
40,85.05159788142703,41
41,85.12514646161958,42
42,85.58630266487118,43
43,86.33776325660777,44
44,86.40708147946701,45
45,86.85263337084551,46
46,86.93766090687981,47
47,87.37990587349941,48
48,89.05024203341615,49
49,89.6686095409321,50
50,90.29790377486167,51
51,90.67013772612326,52
52,90.99623701591555,53
53,95.1396581427747,54
54,97.4467501145021,55
55,99.51106773156708,56
56,99.81195350132504,57
57,102.09747233145718,58
58,102.30924487238768,59
59,103.10825047570322,60
60,108.62808553662028,61
61,110.8003804109383,62
62,112.4554887246101,63
63,114.53016196750094,64
64,119.39010096820299,65
65,123.0172979748156,66
66,123.64159811180369,67
67,123.69536094063116,68
68,124.2585110945265,69
69,124.71727352359416,70
70,125.00430528697252,71
71,129.3833008980596,72
72,134.1289781180562,73
73,134.81032473605424,74
74,136.9383943972065,75
75,137.91847870725948,76
76,143.79338896695464,77
77,145.13896265722764,78
78,145.73035377432922,79
79,146.24111786739653,80
80,147.80678663534465,81
81,148.25096326920536,82
82,149.9677233962784,83
83,153.8016505921315,84
84,154.63636193664647,85
85,155.0925234725492,86
86,162.14793425329114,87
87,164.4711286273684,88
88,164.58941722581653,89
89,164.655524886644,90
90,164.71000297947148,91
91,166.58595338684526,92
92,169.46957732756226,93
93,170.43641559916762,94
94,170.48346815599507,95
95,171.01325416592454,96
96,175.98452864226147,97
97,177.2802928863263,98
98,183.34833162118335,99
99,188.22157977048718,100
100,188.27324903131463,101
101,191.21074367541974,102
102,194.09704267977165,103
103,195.58764968532006,104
104,196.1357010808011,105
105,198.11275314903716,106
106,198.21898428189903,107
107,199.0748426408276,108
108,200.06586743465988,109
109,204.99166450532945,110
110,210.19182556866957,111
111,210.84775336010313,112
112,212.16057138327164,113
113,212.42582586023627,114
114,216.6167970263915,115
115,221.42592745083252,116
116,222.12665095200379,117
117,224.52373840315482,118
118,226.48647955939165,119
119,226.68607148590831,120
120,229.84287060403506,121
121,231.34288279999808,122
122,234.4067255855752,123
123,236.1318302532574,124
124,236.18433305008483,125
125,236.61956920073877,126
126,236.6639091815662,127
127,240.50868043534715,128
