,Request Id,request_execution_plus_preemption_time,cdf
83,83,4201.405841481393,0.0078125
81,81,4212.732619222006,0.015625
82,82,4212.756167531637,0.0234375
80,80,4232.31853090419,0.03125
79,79,4243.442072045904,0.0390625
78,78,4258.933431863917,0.046875
77,77,4290.914171181763,0.0546875
76,76,4317.271390915378,0.0625
75,75,4344.135540128275,0.0703125
74,74,4359.583024074826,0.078125
73,73,4391.597535733165,0.0859375
72,72,4418.461684946063,0.09375
71,71,4433.883064931504,0.1015625
84,84,4452.747506642919,0.109375
70,70,4465.896666668824,0.1171875
69,69,4481.384704215126,0.125
68,68,4513.364592744307,0.1328125
67,67,4539.9719966872535,0.140625
66,66,4555.41774359429,0.1484375
65,65,4587.457449292718,0.15625
64,64,4602.945486839018,0.1640625
63,63,4634.925375368201,0.171875
62,62,4650.407468323879,0.1796875
88,88,4665.111463724292,0.1875
91,91,4667.443842541636,0.1953125
89,89,4669.694189086125,0.203125
90,90,4674.525522654637,0.2109375
94,94,4680.627333417988,0.21875
61,61,4682.380950111959,0.2265625
92,92,4683.09477772663,0.234375
93,93,4687.677503088469,0.2421875
95,95,4696.320559242245,0.25
98,98,4698.165138734716,0.2578125
96,96,4700.631745385605,0.265625
85,85,4704.387501057042,0.2734375
97,97,4705.2339946197335,0.28125
60,60,4709.228985006989,0.2890625
99,99,4713.832105713638,0.296875
102,102,4715.813741065967,0.3046875
100,100,4718.134004911482,0.3125
101,101,4722.896755905421,0.3203125
59,59,4724.633310705156,0.328125
103,103,4731.447223984425,0.3359375
104,104,4746.350599824514,0.34375
105,105,4747.561390653358,0.3515625
58,58,4757.143765459121,0.359375
57,57,4772.548091157287,0.3671875
106,106,4773.631682137163,0.375
107,107,4788.254837221004,0.3828125
108,108,4803.199277685112,0.390625
109,109,4804.410068513953,0.3984375
56,56,4805.058545911251,0.40625
55,55,4820.462871609417,0.4140625
110,110,4830.424133037221,0.421875
111,111,4845.06675394305,0.4296875
54,54,4853.525274424738,0.4375
112,112,4860.198963943937,0.4453125
113,113,4861.348583147705,0.453125
53,53,4869.613355843484,0.4609375
114,114,4887.187977572266,0.46875
52,52,4891.302029294513,0.4765625
115,115,4901.804285785032,0.484375
116,116,4902.6903222142355,0.4921875
0,0,4913.03436334594,0.5
1,1,4917.412646158735,0.5078125
2,2,4919.876597401147,0.515625
3,3,4920.9895615184605,0.5234375
4,4,4921.616838570583,0.53125
5,5,4922.679419913848,0.5390625
6,6,4923.223858515147,0.546875
7,7,4923.81546559887,0.5546875
51,51,4923.853384927143,0.5625
8,8,4924.251750727693,0.5703125
48,48,4924.593069804183,0.578125
9,9,4924.670386480321,0.5859375
50,50,4924.850785963633,0.59375
46,46,4924.957781783633,0.6015625
45,45,4924.991595727897,0.609375
10,10,4925.073320942329,0.6171875
42,42,4925.094468163554,0.625
37,37,4925.104159965763,0.6328125
40,40,4925.173786683967,0.640625
36,36,4925.20614671389,0.6484375
26,26,4925.253623964442,0.65625
23,23,4925.276245262107,0.6640625
39,39,4925.290263756139,0.671875
30,30,4925.297502035511,0.6796875
34,34,4925.297728213539,0.6875
25,25,4925.315127102015,0.6953125
43,43,4925.354038970641,0.703125
33,33,4925.387769118335,0.7109375
24,24,4925.4171138501415,0.71875
32,32,4925.4779764258465,0.7265625
29,29,4925.485632468579,0.734375
18,18,4925.496040683046,0.7421875
17,17,4925.579146095681,0.75
11,11,4925.592229859459,0.7578125
28,28,4925.61136001293,0.765625
21,21,4925.681136774034,0.7734375
12,12,4925.808510638942,0.78125
20,20,4925.810244578162,0.7890625
13,13,4925.839695144344,0.796875
19,19,4925.886871042798,0.8046875
14,14,4925.920373743549,0.8125
15,15,4926.334278217648,0.8203125
117,117,4928.204978693785,0.828125
49,49,4935.486551828091,0.8359375
38,38,4936.000951196404,0.84375
41,41,4936.049871190913,0.8515625
47,47,4936.0849671744145,0.859375
35,35,4936.204717391162,0.8671875
44,44,4936.231708709787,0.875
31,31,4936.348609754958,0.8828125
22,22,4936.459263339313,0.890625
27,27,4936.635702301776,0.8984375
16,16,4937.085108324978,0.90625
86,86,4938.475647239489,0.9140625
118,118,4942.237535079306,0.921875
119,119,4942.857205109325,0.9296875
120,120,4968.137380021205,0.9375
121,121,4981.886086592259,0.9453125
122,122,4996.098207171262,0.953125
123,123,4996.51630668706,0.9609375
124,124,5021.479006822737,0.96875
125,125,5035.302007867059,0.9765625
126,126,5035.599287667292,0.984375
127,127,5058.1967862980755,0.9921875
87,87,5192.142853878944,1.0
