,Request Id,decode_time_execution_plus_preemption_normalized,cdf
83,83,8.077417404793044,0.0078125
82,82,8.098906760652302,0.015625
81,81,8.120989671157732,0.0234375
80,80,8.138111370504799,0.03125
79,79,8.15934465101423,0.0390625
78,78,8.211184152037118,0.046875
77,77,8.252407513567334,0.0546875
76,76,8.303957176117509,0.0625
75,75,8.355439534769769,0.0703125
74,74,8.40776848298065,0.078125
73,73,8.449074443415675,0.0859375
72,72,8.500607786366981,0.09375
71,71,8.552936734577862,0.1015625
70,70,8.594237503963342,0.109375
69,69,8.64571337380367,0.1171875
68,68,8.686877463828656,0.125
67,67,8.738427580779899,0.1328125
66,66,8.790267738664802,0.140625
65,65,8.831555842770896,0.1484375
64,64,8.883085793066908,0.15625
63,63,8.924300867390938,0.1640625
62,62,8.975807395671605,0.171875
88,88,8.982989144505348,0.1796875
89,89,8.99236379904831,0.1875
90,90,9.001652758529822,0.1953125
91,91,9.009097529204166,0.203125
61,61,9.016949969227763,0.2109375
92,92,9.018112804666197,0.21875
93,93,9.027484363052519,0.2265625
94,94,9.034846534822053,0.234375
95,95,9.04340562040748,0.2421875
96,96,9.052397802302924,0.25
97,97,9.061718073881929,0.2578125
60,60,9.06849406509301,0.265625
98,98,9.069060410455045,0.2734375
99,99,9.077593134903946,0.28125
100,100,9.086895382938968,0.2890625
101,101,9.096136428858442,0.296875
102,102,9.10351189770189,0.3046875
103,103,9.11244644383228,0.3125
59,59,9.120791540026822,0.3203125
104,104,9.142064938267955,0.328125
58,58,9.162074206803528,0.3359375
105,105,9.165574504689278,0.34375
106,106,9.194287243637229,0.3515625
57,57,9.214375095597394,0.359375
107,107,9.223479017778747,0.3671875
108,108,9.25298769393213,0.375
56,56,9.255657762374103,0.3828125
109,109,9.276535279537029,0.390625
110,110,9.305251432345035,0.3984375
55,55,9.307958651167969,0.40625
111,111,9.33480749453113,0.4140625
54,54,9.350304131687679,0.421875
112,112,9.364291874431153,0.4296875
113,113,9.38777624438845,0.4375
53,53,9.4039335376603,0.4453125
114,114,9.416653727071633,0.453125
115,115,9.4455756003773,0.4609375
52,52,9.446301171207345,0.46875
116,116,9.4684889000454,0.4765625
51,51,9.488509972366563,0.484375
117,117,9.496229646518024,0.4921875
1,1,9.502563787234598,0.5
2,2,9.504531550736045,0.5078125
3,3,9.505807687154483,0.515625
4,4,9.50701247905957,0.5234375
5,5,9.50900961596962,0.53125
6,6,9.50999108019889,0.5390625
49,49,9.510811522119413,0.546875
7,7,9.5110600238531,0.5546875
48,48,9.511340339078151,0.5625
47,47,9.51143378239669,0.5703125
38,38,9.511668492889092,0.578125
8,8,9.51179575801589,0.5859375
50,50,9.511850812033478,0.59375
46,46,9.511978845042465,0.6015625
35,35,9.512060970861175,0.609375
45,45,9.512076556572108,0.6171875
44,44,9.51214601329205,0.625
41,41,9.512166907526296,0.6328125
42,42,9.512201769542193,0.640625
37,37,9.512259673579265,0.6484375
31,31,9.512325394473823,0.65625
40,40,9.512429889279135,0.6640625
36,36,9.512432005368499,0.671875
23,23,9.51244689216104,0.6796875
9,9,9.512482392532604,0.6875
26,26,9.512517791160475,0.6953125
22,22,9.51252245066335,0.703125
39,39,9.512574938265496,0.7109375
34,34,9.512603932271997,0.71875
30,30,9.512626299887273,0.7265625
25,25,9.512727456593854,0.734375
43,43,9.512746762958363,0.7421875
33,33,9.512813597705374,0.75
24,24,9.512844050556481,0.7578125
27,27,9.51286705801191,0.765625
32,32,9.512867759418421,0.7734375
18,18,9.512972080638885,0.78125
29,29,9.51300068535236,0.7890625
17,17,9.51305656268009,0.796875
28,28,9.513124222527985,0.8046875
10,10,9.51315940198189,0.8125
21,21,9.513241185547521,0.8203125
16,16,9.513290352968404,0.828125
20,20,9.513661415813345,0.8359375
19,19,9.513818020090085,0.84375
14,14,9.513876795859687,0.8515625
11,11,9.514031605897193,0.859375
13,13,9.514067483833777,0.8671875
15,15,9.51406886749867,0.875
12,12,9.514253578866368,0.8828125
118,118,9.52459417643788,0.890625
119,119,9.547011642298576,0.8984375
0,0,9.550355312115407,0.90625
120,120,9.574174504636455,0.9140625
121,121,9.602032753611585,0.921875
122,122,9.62973301336196,0.9296875
123,123,9.651763708257894,0.9375
124,124,9.678919381765681,0.9453125
125,125,9.706369076645307,0.953125
126,126,9.7281096516532,0.9609375
127,127,9.75218542948571,0.96875
87,87,10.770963943853252,0.9765625
86,86,10.92541480594435,0.984375
85,85,11.09746597931513,0.9921875
84,84,11.30727060028001,1.0
