,Request Id,prefill_time_execution_plus_preemption,cdf
0,0,23.252443542851232,0.0078125
1,1,52.0999870946205,0.015625
2,2,53.55644342429035,0.0234375
3,3,54.01602569536415,0.03125
4,4,54.02644929208256,0.0390625
5,5,54.06649653740115,0.046875
6,6,54.10842545331522,0.0546875
7,7,54.15273338608273,0.0625
8,8,54.212322623558805,0.0703125
9,9,54.27940150362866,0.078125
10,10,54.33570712760201,0.0859375
11,11,54.40804764009647,0.09375
12,12,54.510678259361896,0.1015625
13,13,54.6371434214517,0.109375
69,69,54.779456827652666,0.1171875
71,71,54.779456827652666,0.125
50,50,54.783170202508245,0.1328125
91,91,54.785907589312046,0.140625
94,94,54.785907589312046,0.1484375
81,81,54.7859075893125,0.15625
48,48,54.7868161961901,0.1640625
105,105,54.787244252593155,0.171875
119,119,54.787244252593155,0.1796875
55,55,54.78804221142809,0.1875
57,57,54.78804221142809,0.1953125
59,59,54.78804221142809,0.203125
62,62,54.794081740018555,0.2109375
52,52,54.79582963636631,0.21875
25,25,54.798669325963374,0.2265625
53,53,54.7993845614219,0.234375
66,66,54.80066139791643,0.2421875
64,64,54.805560788763614,0.25
74,74,54.805560788763614,0.2578125
98,98,54.806208581923784,0.265625
78,78,54.807146020963046,0.2734375
113,113,54.807146020963955,0.28125
126,126,54.807146020963955,0.2890625
45,45,54.80839876299615,0.296875
40,40,54.80968337306035,0.3046875
19,19,54.81204475667812,0.3125
123,123,54.81328805914109,0.3203125
86,86,54.815228982481585,0.328125
14,14,54.8154542633913,0.3359375
20,20,54.81559968173406,0.34375
102,102,54.81564944275851,0.3515625
109,109,54.82400539113587,0.359375
116,116,54.82400539113587,0.3671875
46,46,54.824613121910716,0.375
33,33,54.82720709318687,0.3828125
37,37,54.82720709318687,0.390625
43,43,54.82769633597468,0.3984375
29,29,54.82928156817411,0.40625
30,30,54.83283649323016,0.4140625
24,24,54.84095996522592,0.421875
36,36,54.84095996522592,0.4296875
26,26,54.84451489028197,0.4375
34,34,54.84451489028197,0.4453125
42,42,54.84716215796516,0.453125
39,39,54.85189536421535,0.4609375
18,18,54.854335395940666,0.46875
32,32,54.88968360361787,0.4765625
28,28,54.89175807860511,0.484375
17,17,54.894186003478126,0.4921875
21,21,54.90164977370739,0.5
23,23,54.90343647565703,0.5078125
15,15,55.13101805833128,0.515625
127,127,65.07784640149566,0.5234375
87,87,65.16401660493011,0.53125
84,84,65.5265137343581,0.5390625
89,89,65.60392397359374,0.546875
80,80,65.60550920579317,0.5546875
93,93,65.60550920579317,0.5625
104,104,65.6133514314688,0.5703125
97,97,65.63434079238596,0.578125
125,125,65.64104062477873,0.5859375
100,100,65.64356884690551,0.59375
76,76,65.64531674325235,0.6015625
111,111,65.64531674325372,0.609375
118,118,65.64531674325372,0.6171875
121,121,65.64531674325372,0.625
85,85,65.64672170341782,0.6328125
70,70,65.6470646396001,0.640625
108,108,65.66957839200222,0.6484375
115,115,65.66957839200222,0.65625
73,73,65.6714207043633,0.6640625
101,101,65.67490433006606,0.671875
122,122,65.67490433006606,0.6796875
90,90,65.67931028757539,0.6875
77,77,65.68152423533229,0.6953125
112,112,65.68152423533411,0.703125
63,63,65.68333126404059,0.7109375
68,68,65.68333126404059,0.71875
65,65,65.70085779402143,0.7265625
61,61,65.70256586734558,0.734375
51,51,65.73627907547825,0.7421875
83,83,65.76813022742544,0.75
96,96,65.80407060671769,0.7578125
41,41,65.82041453746251,0.765625
88,88,65.8210217377491,0.7734375
92,92,65.8210217377491,0.78125
107,107,65.83358011842574,0.7890625
79,79,65.8576107266731,0.796875
114,114,65.86126931173567,0.8046875
124,124,65.87228335883265,0.8125
103,103,65.87464474245007,0.8203125
67,67,65.89707532795046,0.828125
49,49,65.95105250297001,0.8359375
44,44,66.0129499042755,0.84375
38,38,66.02668283719754,0.8515625
35,35,66.02950031024716,0.859375
31,31,66.0380077843638,0.8671875
27,27,66.04776859968115,0.875
22,22,66.04776859968149,0.8828125
95,95,66.09688159383313,0.890625
99,99,66.10442064299968,0.8984375
82,82,66.11590607772723,0.90625
110,110,66.13539967670476,0.9140625
117,117,66.13539967670476,0.921875
72,72,66.15049832618797,0.9296875
75,75,66.15049832618797,0.9375
106,106,66.15661339504368,0.9453125
60,60,66.16002367937199,0.953125
120,120,66.16003364747576,0.9609375
56,56,66.16177157571974,0.96875
58,58,66.16177157571974,0.9765625
54,54,66.16955900065796,0.984375
47,47,66.23087058732926,0.9921875
16,16,66.28044760515695,1.0
