,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
0,0,0.011353732198657828,0.0078125
1,1,0.025439446823545167,0.015625
86,86,0.025941897294122853,0.0234375
2,2,0.026150607140766773,0.03125
3,3,0.026375012546564526,0.0390625
4,4,0.026380102193399688,0.046875
5,5,0.026399656512402905,0.0546875
6,6,0.026420129615876572,0.0625
7,7,0.026441764348673208,0.0703125
8,8,0.026470860656034573,0.078125
9,9,0.026503614015443683,0.0859375
10,10,0.026531106995899417,0.09375
11,11,0.026566429511765854,0.1015625
12,12,0.02661654211882905,0.109375
13,13,0.02667829268625571,0.1171875
69,69,0.02674778165412728,0.125
71,71,0.02674778165412728,0.1328125
50,50,0.02674959482544348,0.140625
91,91,0.026750931440093773,0.1484375
94,94,0.026750931440093773,0.15625
81,81,0.026750931440093995,0.1640625
48,48,0.02675137509579595,0.171875
105,105,0.0267515841077115,0.1796875
119,119,0.0267515841077115,0.1875
55,55,0.026751973736048873,0.1953125
57,57,0.026751973736048873,0.203125
59,59,0.026751973736048873,0.2109375
62,62,0.026754922724618435,0.21875
52,52,0.026755776189631986,0.2265625
25,25,0.026757162756818054,0.234375
53,53,0.02675751199288179,0.2421875
66,66,0.02675813544820138,0.25
64,64,0.026760527728888484,0.2578125
74,74,0.026760527728888484,0.265625
98,98,0.026760844034142472,0.2734375
78,78,0.026761301768048362,0.28125
113,113,0.026761301768048806,0.2890625
126,126,0.026761301768048806,0.296875
45,45,0.026761913458494213,0.3046875
40,40,0.026762540709502125,0.3125
19,19,0.026763693728846738,0.3203125
123,123,0.026764300810127484,0.328125
14,14,0.026765358527046534,0.3359375
20,20,0.026765429532096707,0.34375
102,102,0.02676545382947193,0.3515625
109,109,0.02676953388239056,0.359375
116,116,0.02676953388239056,0.3671875
46,46,0.026769830625932967,0.375
33,33,0.026771097213470152,0.3828125
37,37,0.026771097213470152,0.390625
43,43,0.026771336101550136,0.3984375
29,29,0.026772110140710015,0.40625
30,30,0.02677384594396004,0.4140625
24,24,0.02677781248302047,0.421875
36,36,0.02677781248302047,0.4296875
26,26,0.026779548286270494,0.4375
34,34,0.026779548286270494,0.4453125
42,42,0.026780840897443925,0.453125
39,39,0.026783152033308277,0.4609375
18,18,0.026784343455049153,0.46875
32,32,0.026801603322079037,0.4765625
28,28,0.0268026162493189,0.484375
17,17,0.026803801759510804,0.4921875
21,21,0.026807446178568062,0.5
23,23,0.02680831859162941,0.5078125
15,15,0.02691944241129457,0.515625
84,84,0.03016874481324038,0.5234375
85,85,0.03064739575322961,0.53125
87,87,0.031268721979333065,0.5390625
127,127,0.031776292188230304,0.546875
89,89,0.03203316600273132,0.5546875
80,80,0.032033940041891196,0.5625
93,93,0.032033940041891196,0.5703125
104,104,0.032037769253646875,0.578125
97,97,0.032048017965032205,0.5859375
125,125,0.03205128936756774,0.59375
100,100,0.03205252385102808,0.6015625
76,76,0.03205337731604119,0.609375
111,111,0.03205337731604185,0.6171875
118,118,0.03205337731604185,0.625
121,121,0.03205337731604185,0.6328125
70,70,0.03205423078105474,0.640625
108,108,0.032065223824219835,0.6484375
115,115,0.032065223824219835,0.65625
73,73,0.03206612339080239,0.6640625
101,101,0.032067824379915066,0.671875
122,122,0.032067824379915066,0.6796875
90,90,0.03206997572635517,0.6875
77,77,0.032071056755533345,0.6953125
112,112,0.03207105675553423,0.703125
63,63,0.03207193909376982,0.7109375
68,68,0.03207193909376982,0.71875
65,65,0.03208049696973703,0.7265625
61,61,0.032081330989914836,0.734375
51,51,0.032097792517323365,0.7421875
83,83,0.03211334483761008,0.75
96,96,0.03213089385093637,0.7578125
41,41,0.03213887428587037,0.765625
88,88,0.032139170770385306,0.7734375
92,92,0.032139170770385306,0.78125
107,107,0.03214530279220007,0.7890625
79,79,0.03215703648763335,0.796875
114,114,0.03215882290612093,0.8046875
124,124,0.032164200858805,0.8125
103,103,0.03216535387814945,0.8203125
67,67,0.03217630631247581,0.828125
49,49,0.03220266235496583,0.8359375
44,44,0.03223288569544702,0.84375
38,38,0.03223959122910036,0.8515625
35,35,0.03224096694836287,0.859375
31,31,0.032245120988458886,0.8671875
27,27,0.03224988701156306,0.875
22,22,0.03224988701156323,0.8828125
95,95,0.032273867965738834,0.890625
99,99,0.03227754914208969,0.8984375
82,82,0.03228315726451525,0.90625
110,110,0.032292675623391,0.9140625
117,117,0.032292675623391,0.921875
72,72,0.03230004801083397,0.9296875
75,75,0.03230004801083397,0.9375
106,106,0.03230303388429867,0.9453125
60,60,0.032304699062193354,0.953125
120,120,0.03230470392943152,0.9609375
56,56,0.032305552527206904,0.96875
58,58,0.032305552527206904,0.9765625
54,54,0.03230935498079002,0.984375
47,47,0.03233929227896937,0.9921875
16,16,0.03236349980720554,1.0
