,Request Id,request_model_execution_time_normalized,cdf
83,83,8.205870784143345,0.0078125
81,81,8.22799339691798,0.015625
82,82,8.22803938971023,0.0234375
80,80,8.266247130672246,0.03125
79,79,8.287972796964656,0.0390625
78,78,8.318229359109212,0.046875
77,77,8.38069174058938,0.0546875
76,76,8.432170685381598,0.0625
75,75,8.484639726813038,0.0703125
74,74,8.514810593896145,0.078125
73,73,8.577338936978839,0.0859375
72,72,8.629807978410279,0.09375
71,71,8.659927861194344,0.1015625
70,70,8.722454427087547,0.109375
69,69,8.752704500420167,0.1171875
68,68,8.815165220203724,0.125
67,67,8.867132806029792,0.1328125
66,66,8.897300280457598,0.140625
65,65,8.95987783064984,0.1484375
64,64,8.990127903982456,0.15625
63,63,9.052588623766017,0.1640625
62,62,9.082827086570076,0.171875
88,88,9.111545827586507,0.1796875
91,91,9.116101254964132,0.1875
89,89,9.120496463058839,0.1953125
90,90,9.129932661434838,0.203125
94,94,9.141850260582007,0.2109375
61,61,9.145275293187419,0.21875
92,92,9.146669487747324,0.2265625
93,93,9.155620123219666,0.234375
95,95,9.172501092270009,0.2421875
98,98,9.176103786591241,0.25
96,96,9.18092137770626,0.2578125
97,97,9.189910145741667,0.265625
60,60,9.197712861341776,0.2734375
99,99,9.20670333147195,0.28125
102,102,9.210573713019468,0.2890625
100,100,9.215105478342739,0.296875
101,101,9.224407726377775,0.3046875
59,59,9.227799434971008,0.3125
103,103,9.24110785934458,0.3203125
104,104,9.270216015282253,0.328125
105,105,9.27258084111984,0.3359375
58,58,9.291296416912346,0.34375
57,57,9.321382990541576,0.3515625
106,106,9.323499379174146,0.359375
107,107,9.352060228947273,0.3671875
108,108,9.381248589228735,0.375
109,109,9.383613415066314,0.3828125
56,56,9.384879972482912,0.390625
55,55,9.414966546112142,0.3984375
110,110,9.434422134838321,0.40625
87,87,9.43621238813147,0.4140625
111,111,9.463021003795019,0.421875
54,54,9.479541551610817,0.4296875
112,112,9.492576101453002,0.4375
113,113,9.49482145146036,0.4453125
53,53,9.510963585631805,0.453125
114,114,9.545289018695833,0.4609375
52,52,9.553324275965846,0.46875
115,115,9.573836495673891,0.4765625
116,116,9.575567035574679,0.484375
0,0,9.595770240910038,0.4921875
1,1,9.604321574528779,0.5
2,2,9.609133979299115,0.5078125
3,3,9.611307737340743,0.515625
4,4,9.61253288783317,0.5234375
5,5,9.614608242019234,0.53125
6,6,9.615671598662397,0.5390625
7,7,9.616827081247793,0.546875
51,51,9.616901142435827,0.5546875
8,8,9.617679200640026,0.5625
48,48,9.618345839461295,0.5703125
9,9,9.618496848594377,0.578125
50,50,9.61884919133522,0.5859375
46,46,9.619058167546159,0.59375
45,45,9.61912421040605,0.6015625
10,10,9.619283829965486,0.609375
42,42,9.619325133131941,0.6171875
37,37,9.61934406243313,0.625
40,40,9.619480052117122,0.6328125
36,36,9.619543255300567,0.640625
26,26,9.619635984305551,0.6484375
23,23,9.619680166527553,0.65625
39,39,9.61970754639871,0.6640625
30,30,9.619721683663107,0.671875
34,34,9.619722125417068,0.6796875
25,25,9.619756107621123,0.6875
43,43,9.619832107364534,0.6953125
33,33,9.619897986559248,0.703125
24,24,9.619955300488558,0.7109375
32,32,9.620074172706731,0.71875
29,29,9.620089125915193,0.7265625
18,18,9.620109454459074,0.734375
17,17,9.620271769718126,0.7421875
11,11,9.620297323944255,0.75
28,28,9.620334687525254,0.7578125
21,21,9.620470970261785,0.765625
12,12,9.620719747341683,0.7734375
20,20,9.620723133941723,0.78125
13,13,9.620780654578796,0.7890625
19,19,9.620872795005464,0.796875
14,14,9.62093822996787,0.8046875
15,15,9.621746637143843,0.8125
117,117,9.625400349011299,0.8203125
49,49,9.63962217153924,0.828125
38,38,9.640626857805476,0.8359375
41,41,9.640722404669752,0.84375
47,47,9.640790951512528,0.8515625
35,35,9.641024838654614,0.859375
44,44,9.641077556073803,0.8671875
31,31,9.641305878427652,0.875
22,22,9.641521998709596,0.8828125
27,27,9.641866606058157,0.890625
16,16,9.642744352197223,0.8984375
118,118,9.65280768570177,0.90625
119,119,9.65401797872915,0.9140625
120,120,9.703393320353916,0.921875
121,121,9.730246262875506,0.9296875
122,122,9.758004310881372,0.9375
123,123,9.758820911498164,0.9453125
124,124,9.807576185200658,0.953125
125,125,9.83457423411535,0.9609375
126,126,9.83515485872518,0.96875
86,86,9.875512209459078,0.9765625
127,127,9.879290598238429,0.984375
85,85,10.461892373599131,0.9921875
84,84,11.120087306352286,1.0
